model_name,task_label,dataset_name,method_id,display_name,level,layer_idx,stage,selected,selection_score,fdr,loo_accuracy,cv_accuracy,weight,mean_vote_weight,mean_margin,val_accuracy,shrinkage_alpha
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,head,8,early,1,,,,,,0.0073757488258706875,243.1926806640625,0.54,0.1934967437933275
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,attn,0,early,1,,,,,,0.006493517961498583,151.175791015625,0.54,0.13756086137022733
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,mlp,8,early,1,,,,,,0.008217865064252691,270.32202392578125,0.53,0.15888580869671648
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,layer,8,early,1,,,,,,0.007435126729142212,257.7672436523437,0.53,0.16982877701505308
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,mlp,5,early,1,,,,,,0.006126725365757011,184.85173828125,0.53,0.13751089334149874
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,mlp,0,early,1,,,,,,0.005269936737518037,124.041865234375,0.53,0.13073990720849182
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,mlp,1,early,1,,,,,,0.0016506263634255447,45.2162109375,0.53,0.08110813138292809
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,attn,7,early,1,,,,,,0.010022745057358406,331.88462646484373,0.52,0.15056128857678774
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,mlp,7,early,1,,,,,,0.007909042675298678,269.421943359375,0.52,0.172115032748713
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,mlp,3,early,1,,,,,,0.006148082602740032,190.3696630859375,0.52,0.1523032351881395
qwen2_vl,eurosat_fgvc,eurosat,rsev2,RSEv2,mlp,2,early,1,,,,,,0.004372009340659133,119.847626953125,0.47,0.12930160057071383
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,head,22,late,1,,,,,,0.04073509697569534,10398.487548828125,0.98,0.0527338656692012
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,attn,22,late,1,,,,,,0.03212197960121557,8129.822724609375,0.98,0.0498668640066263
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,layer,22,late,1,,,,,,0.013340719894040376,3430.3899267578126,0.98,0.0774655740506307
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,mlp,22,late,1,,,,,,0.010882736195344477,2756.19380859375,0.98,0.08267235687311736
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,attn,21,late,1,,,,,,0.010728621561429463,2653.756982421875,0.98,0.11523042311889642
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,head,27,late,1,,,,,,0.020253303098725153,5272.319851074219,0.97,0.2945354846609439
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,head,19,late,1,,,,,,0.01826062592648668,4475.56189453125,0.97,0.09272007594932608
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,layer,19,late,1,,,,,,0.01115041356155416,2700.21689453125,0.97,0.08790749016372777
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,head,21,late,1,,,,,,0.010750217628665269,2697.2963525390624,0.97,0.11695128490700907
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,head,20,late,1,,,,,,0.01041324897974846,2551.4150244140624,0.97,0.12782802887627215
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,layer,20,late,1,,,,,,0.009825130807294045,2384.885166015625,0.97,0.08506184021310094
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,layer,26,late,1,,,,,,0.042578048503492026,11124.240986328125,0.96,0.06716448824675747
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,head,26,late,1,,,,,,0.028919089916162193,7559.229243164063,0.96,0.16065257157392102
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,attn,26,late,1,,,,,,0.02721033970359713,7062.2223291015625,0.96,0.1673837548364112
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,mlp,27,late,1,,,,,,0.024699976902338674,6464.4093017578125,0.96,0.08304925976112638
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,layer,24,late,1,,,,,,0.02409519304987043,6372.054140625,0.96,0.05007397223409656
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,attn,23,late,1,,,,,,0.021560693002538756,5611.072451171875,0.96,0.0522067847838103
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,attn,19,late,1,,,,,,0.020595379759324715,4988.1971484375,0.96,0.0688520649517057
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,attn,27,late,1,,,,,,0.019048996281344443,4960.16958984375,0.96,0.27923262506516106
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,layer,23,late,1,,,,,,0.016767351368907838,4411.965439453125,0.96,0.06968131770899516
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,mlp,19,late,1,,,,,,0.010207246803329326,2506.8696826171877,0.96,0.08293070049774492
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,layer,21,late,1,,,,,,0.00945973969064653,2314.9449365234377,0.96,0.08099877982408703
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,mlp,20,late,1,,,,,,0.008406854993081652,2087.7384521484373,0.96,0.0851635993248933
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,layer,27,late,1,,,,,,0.03185381154995412,8351.459819335938,0.95,0.11976563527350279
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,mlp,26,late,1,,,,,,0.02701329728588462,7072.6426953125,0.95,0.07386700880871358
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,layer,25,late,1,,,,,,0.026860553311125843,7306.18970703125,0.95,0.05543897402267918
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,head,23,late,1,,,,,,0.021931567094288767,5668.76662109375,0.95,0.05680114310555188
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,mlp,25,late,1,,,,,,0.01634995409520343,4438.883076171875,0.95,0.054766247873549355
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,mlp,24,late,1,,,,,,0.014925597257679328,3958.758330078125,0.95,0.04972523821594466
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,mlp,23,late,1,,,,,,0.012571729805895302,3331.796611328125,0.95,0.07001663570578856
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,mlp,21,late,1,,,,,,0.008587798280641436,2083.2841357421876,0.95,0.06540708691987915
qwen2_vl,pets_fgvc,pets,rsev2,RSEv2,attn,20,late,1,,,,,,0.00765462179100723,1922.9448291015624,0.95,0.12986025102223808
